id_city;postal_code;city_name
1;01190;OZAN
2;01290;CORMORANCHE-SUR-SAONE
3;01130;PLAGNE
4;01250;TOSSIAT
5;01250;POUILLAT
6;01230;TORCIEU
7;01620;REPLONGES
8;01110;CORCELLES
9;01630;PERON
10;01990;RELEVANT
11;01660;CHAVEYRIAT
12;01150;VAUX-EN-BUGEY
13;01430;MAILLAT
14;01800;FARAMANS
15;01350;BEON
16;01600;SAINT-BERNARD
17;01510;ROSSILLON
18;01160;PONT-D'AIN
19;01460;NANTUA
20;01190;CHAVANNES-SUR-REYSSOUZE
21;01400;NEUVILLE-LES-DAMES
22;01350;FLAXIEU
23;01260;HOTONNES
24;01150;SAINT-SORLIN-EN-BUGEY
25;01260;SONGIEU
26;01260;VIRIEU-LE-PETIT
27;01500;SAINT-DENIS-EN-BUGEY
28;01800;CHARNOZ-SUR-AIN
29;01150;CHAZEY-SUR-AIN
30;01680;MARCHAMP
31;01350;CULOZ
32;01560;MANTENAY-MONTLIN
33;01851;MARBOZ
34;01340;FOISSIAT
35;01370;TREFFORT-CUISIAT
36;01300;IZIEU
37;01370;SAINT-ETIENNE-DU-BOIS
38;01110;HAUTEVILLE-LOMPNES
39;01990;SAINT-TRIVIER-SUR-MOIGNANS
40;01430;PEYRIAT
41;01230;EVOSGES
42;01450;PONCIN
43;01320;CRANS
44;01460;MONTREAL-LA-CLUSE
45;01230;CLEYZIEU
46;01260;LOMPNIEU
47;01250;VILLEREVERSURE
48;01160;SAINT-MARTIN-DU-MONT
49;01630;SAINT-GENIS-POUILLY
50;01450;BOLOZON
51;01310;CONFRANCON
52;01260;LOCHIEU
53;01400;CHANOZ-CHATENAY
54;01150;VILLEBOIS
55;01430;CEIGNES
56;01140;SAINT-DIDIER-SUR-CHALARONNE
57;01250;REVONNAS
58;01800;BOURG-SAINT-CHRISTOPHE
59;01400;CONDEISSIAT
60;01270;PIRAJOUX
61;01320;CHALAMONT
62;01330;LE PLANTAY
63;01330;VERSAILLEUX
64;01250;MONTAGNAT
65;01260;VIEU
66;01390;SAINT-ANDRE-DE-CORCY
67;01360;BRESSOLLES
68;01960;PERONNAS
69;01300;COLOMIEU
70;01390;MONTHIEUX
71;01560;SAINT-JEAN-SUR-REYSSOUZE
72;01140;GARNERANS
73;01340;MONTREVEL-EN-BRESSE
74;01230;CONAND
75;01450;CHALLES-LA-MONTAGNE
76;01140;MOGNENEINS
77;01140;THOISSEY
78;01480;CHALEINS
79;01160;NEUVILLE-SUR-AIN
80;01120;THIL
81;01640;JUJURIEUX
82;01230;ONCIEU
83;01090;LURCY
84;01360;BALAN
85;01500;AMBUTRIX
86;01120;SAINTE-CROIX
87;01150;BLYES
88;01300;CONZIEU
89;01120;NIEVROZ
90;01460;NURIEUX-VOLOGNAT
91;01300;AMBLEON
92;01800;SAINT-MAURICE-DE-GOURDANS
93;01200;CHEZERY-FORENS
94;01150;SAULT-BRENAZ
95;01300;MURS-ET-GELIGNIEUX
96;01260;LE PETIT-ABERGEMENT
97;01560;CORMOZ
98;01510;SAINT-MARTIN-DE-BAVEL
99;01560;SAINT-TRIVIER-DE-COURTES
100;01640;BOYEUX-SAINT-JEROME
101;01500;CHATEAU-GAILLARD
102;01300;PREMEYZEL
103;01230;ARANDAS
104;01320;CHATENAY
105;01680;INNIMOND
106;01190;BOZ
107;01470;BRIORD
108;01600;REYRIEUX
109;01580;MATAFELON-GRANGES
110;01250;DROM
111;01200;CHATILLON-EN-MICHAILLE
112;01310;POLLIAT
113;01170;VESANCY
114;01600;MASSIEUX
115;01380;SAINT-CYR-SUR-MENTHON
116;01450;SERRIERES-SUR-AIN
117;01230;NIVOLLET-MONTGRIFFON
118;01580;IZERNORE
119;01320;SAINT-NIZIER-LE-DESERT
120;01090;GUEREINS
121;01140;ILLIAT
122;01160;LA TRANCLIERE
123;01600;SAINT-DIDIER-DE-FORMANS
124;01450;MERIGNAT
125;01800;SAINT-ELOI
126;01240;LA CHAPELLE-DU-CHATELARD
127;01800;SAINT-JEAN-DE-NIOST
128;01480;SAVIGNEUX
129;01300;NATTAGES
130;01300;SAINT-BENOIT
131;01500;DOUVRES
132;01090;FRANCHELEINS
133;01590;DORTAN
134;01300;SAINT-GERMAIN-LES-PAROISSES
135;01700;MIRIBEL
136;01200;LANCRANS
137;01170;ECHENEVEX
138;01290;SAINT-JEAN-SUR-VEYLE
139;01200;BILLIAT
140;01640;L'ABERGEMENT-DE-VAREY
141;01480;VILLENEUVE
142;01330;VILLARS-LES-DOMBES
143;01110;THEZILLIEU
144;01190;SAINT-ETIENNE-SUR-REYSSOUZE
145;01150;SOUCLIN
146;01250;SAINT-JUST
147;01390;CIVRIEUX
148;01230;ARGIS
149;01510;TALISSIEU
150;01330;BIRIEUX
151;01540;SAINT-JULIEN-SUR-VEYLE
152;01710;THOIRY
153;01290;LAIZ
154;01350;CRESSIN-ROCHEFORT
155;01300;SAINT-CHAMP
156;01400;SAINT-GEORGES-SUR-RENON
157;01430;LANTENAY
158;01560;VERNOUX
159;01110;CORMARANCHE-EN-BUGEY
160;01600;SAINTE-EUPHEMIE
161;01270;BEAUPONT
162;01300;BRENS
163;01250;RAMASSE
164;01220;DIVONNE-LES-BAINS
165;01200;LEAZ
166;01200;VILLES
167;01560;SAINT-JULIEN-SUR-REYSSOUZE
168;01680;GROSLEE
169;01660;VANDEINS
170;01270;VERJON
171;01240;SAINT-ANDRE-SUR-VIEUX-JONC
172;01290;SAINT-ANDRE-D'HUIRIAT
173;01220;GRILLY
174;01170;CESSY
175;01510;ORDONNAZ
176;01560;VESCOURS
177;01370;MEILLONNAS
178;01100;GEOVREISSET
179;01350;CEYZERIEU
180;01460;BEARD-GEOVREISSIAT
181;01510;LA BURBANCHE
182;01540;PERREX
183;01270;VILLEMOTIER
184;01250;JASSERON
185;01250;CORVEISSIAT
